aeronave_tipo_veiculo;aeronave_pais_fabricante;aeronave_fabricante;aeronave_modelo;aeronave_ano_fabricacao;aeronave_assentos;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;ocorrencia;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_icao;aeronave_pmd;aeronave_pmd_categoria;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_tipo_operacao
HELICÓPTERO;BRASIL;HELIBRAS;AS 350 B3;2005;6;TURBOEIXO;MONOMOTOR;POUSO;NENHUM;0;80526;PRYFM;***;AS50;2250;2250;BRASIL;HELICÓPTERO;PARTICULAR;WEST GATE;PEDRO MORGANTI;PRIVADA
AVIÃO;BRASIL;AIR TRACTOR;AT-402B;2016;1;TURBOÉLICE;MONOMOTOR;APROXIMAÇÃO FINAL;SUBSTANCIAL;1;80528;PRJPY;***;AT3T;3175;3175;BRASIL;AVIÃO;PARTICULAR;***;TENOAR;AGRÍCOLA
***;BRASIL;***;***;NULL;NULL;***;***;CRUZEIRO;NENHUM;0;80529;PRYYJ;***;***;0;0;BRASIL;***;REGULAR;VAL DE CANS / JÚLIO CEZAR RIBEIRO;ALTAMIRA;REGULAR
***;BRASIL;***;150L;NULL;NULL;***;SEM TRAÇÃO;CRUZEIRO;NENHUM;0;80530;PRWLL;***;C150;0;0;BRASIL;***;PARTICULAR;LEME;PEDRO MORGANTI;PRIVADA
AVIÃO;BRASIL;AEROSPATIALE AND ALENIA;ATR-72-212A;2012;73;TURBOÉLICE;BIMOTOR;DESCIDA;NENHUM;0;80531;PRTKK;***;AT72;22800;22800;BRASIL;AVIÃO;REGULAR;PROFESSOR ERIBERTO MANOEL REINO;TANCREDO NEVES;REGULAR
AVIÃO;BRASIL;EMBRAER;ERJ 190-200 IGW;2012;125;TURBOEIXO;BIMOTOR;SUBIDA;NENHUM;0;80533;PRAXF;***;E190;52290;52290;BRASIL;AVIÃO;REGULAR;CONGONHAS;TANCREDO NEVES;REGULAR
AVIÃO;BRASIL;PILATUS;PC-24;2021;8;JATO;BIMOTOR;INDETERMINADA;LEVE;0;80534;PSAMA;***;PC24;8300;8300;BRASIL;AVIÃO;NÃO REGULAR;SANTOS DUMONT;SÃO PAULO CATARINA AEROPORTO EXECUTIVO;PRIVADA
AVIÃO;BRASIL;EMBRAER;EMB-505;2011;9;JATO;BIMOTOR;DESCIDA;LEVE;0;80535;PPMDA;***;E55P;8150;8150;BRASIL;AVIÃO;PARTICULAR;ARIQUEMES;JI-PARANÁ;PRIVADA
AVIÃO;BRASIL;EMBRAER;EMB-203;2018;1;PISTÃO;MONOMOTOR;MANOBRA;SUBSTANCIAL;0;80536;PTCNK;***;IPAN;1900;1900;BRASIL;AVIÃO;PARTICULAR;PAGRISA;PAGRISA;PRIVADA
AVIÃO;BRASIL;CESSNA AIRCRAFT;208B;2001;11;TURBOÉLICE;MONOMOTOR;TÁXI;LEVE;0;80537;PRSLN;***;C208;4110;4110;BRASIL;AVIÃO;ADMINISTRAÇÃO DIRETA;CAMPO DE MARTE;ESTADUAL ARTHUR SIQUEIRA;POLICIAL
AVIÃO;BRASIL;CESSNA AIRCRAFT;510;2008;6;JATO;BIMOTOR;DESCIDA;LEVE;0;80538;PPWGS;***;C510;3921;3921;BRASIL;AVIÃO;PARTICULAR;CONGONHAS;BAHIA - JORGE AMADO;PRIVADA
AVIÃO;BRASIL;AIR TRACTOR;AT-502B;2013;1;TURBOÉLICE;MONOMOTOR;DECOLAGEM;SUBSTANCIAL;0;80539;PRTAR;***;AT5T;3629;3629;BRASIL;AVIÃO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;AGRÍCOLA
HELICÓPTERO;BRASIL;SCHWEIZER;269C-1;2007;2;PISTÃO;MONOMOTOR;POUSO;SUBSTANCIAL;0;80540;PRCEU;***;H269;794;794;BRASIL;HELICÓPTERO;ADMINISTRAÇÃO DIRETA;CAPÃO DA CANOA;CAPÃO DA CANOA;INSTRUÇÃO
AVIÃO;BRASIL;BOEING COMPANY;737-3Y0;1989;0;JATO;BIMOTOR;SUBIDA;LEVE;0;80542;PPYBD;***;B733;63276;63276;BRASIL;AVIÃO;NÃO REGULAR;EDUARDO GOMES;VIRACOPOS;NÃO REGULAR
AVIÃO;BRASIL;EMBRAER;EMB-500;2011;6;JATO;BIMOTOR;APROXIMAÇÃO FINAL;LEVE;0;80543;PRVFC;***;E50P;4750;4750;BRASIL;AVIÃO;NÃO REGULAR;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;GOVERNADOR ANDRÉ FRANCO MONTORO;TÁXI AÉREO
AVIÃO;BRASIL;LEARJET;31;NULL;NULL;JATO;BIMOTOR;SUBIDA;NENHUM;0;80544;PPLFV;***;LJ31;7031;7031;BRASIL;AVIÃO;PARTICULAR;CONGONHAS;AFONSO PENA;PRIVADA
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A321-211;NULL;NULL;JATO;BIMOTOR;DECOLAGEM;LEVE;0;80545;PTXPF;***;A321;89000;89000;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;TANCREDO NEVES;REGULAR
AVIÃO;BRASIL;AERO BOERO;AB-180;1991;2;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;LEVE;0;80546;PPGCJ;***;AB18;844;844;BRASIL;AVIÃO;INSTRUÇÃO;BAURU;BAURU;INSTRUÇÃO
AVIÃO;BRASIL;CIA AERONAUTICA PAULISTA;CAP-4;1946;2;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;SUBSTANCIAL;0;80547;PPRQY;***;PAUL;587;587;BRASIL;AVIÃO;INSTRUÇÃO;FAZENDA VALE ELDORADO - DR JOSÉ DE AGUIAR LEME;FAZENDA VALE ELDORADO - DR JOSÉ DE AGUIAR LEME;INSTRUÇÃO
ULTRALEVE;BRASIL;***;EXEC 162 F;1998;2;PISTÃO;MONOMOTOR;POUSO;LEVE;0;80548;PPXBG;***;ULAC;681;681;BRASIL;ULTRALEVE;PARTICULAR;COSTA ESMERALDA;COSTA ESMERALDA;PRIVADA
