aeronave_tipo_veiculo;aeronave_pais_fabricante;aeronave_fabricante;aeronave_modelo;aeronave_ano_fabricacao;aeronave_assentos;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;ocorrencia;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_icao;aeronave_pmd;aeronave_pmd_categoria;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_tipo_operacao
AVIÃO;BRASIL;EMBRAER;EMB-820C NAVAJO;1976;10;PISTÃO;BIMOTOR;POUSO;SUBSTANCIAL;0;43628;PTEHG;***;PA31;3175;3175;BRASIL;AVIÃO;TÁXI AÉREO;DEPUTADO LUÍS EDUARDO MAGALHÃES;FAZENDA PONTAL;TÁXI AÉREO
HELICÓPTERO;BRASIL;ROBINSON HELICOPTER;R22 BETA;1991;2;PISTÃO;MONOMOTOR;MANOBRA;SUBSTANCIAL;0;43629;PTHVW;***;R22;621;621;BRASIL;HELICÓPTERO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;AIR TRACTOR;AT-401B;1994;1;PISTÃO;MONOMOTOR;ESPECIALIZADA;LEVE;0;43630;PTXRK;ESPECIALIZADA;AT3P;2722;2722;BRASIL;AVIÃO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA
AVIÃO;BRASIL;BOEING COMPANY;737-8EH;2009;197;JATO;BIMOTOR;DESCIDA;NENHUM;0;43631;PRGGM;REGULAR;B738;70533;70533;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;EMBRAER;EMB-145LR;2001;54;JATO;BIMOTOR;CORRIDA APÓS POUSO;NENHUM;0;43633;PRPSK;***;E145;21990;21990;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;AEROSPATIALE AND ALENIA;ATR-42-320;1993;50;TURBOÉLICE;BIMOTOR;DECOLAGEM;LEVE;0;43634;PTMFJ;REGULAR;AT43;16700;16700;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;ESTADOS UNIDOS;MCDONNELL DOUGLAS;DC-10-30F;1980;0;PISTÃO;TRIMOTOR;CORRIDA APÓS POUSO;LEVE;0;43637;N305FE;***;DC10;256280;256280;ESTADOS UNIDOS;AVIÃO;***;FORA DE AERODROMO;FORA DE AERODROMO;***
AVIÃO;BRASIL;BEECH AIRCRAFT;B300;0;11;TURBOÉLICE;BIMOTOR;TÁXI;NENHUM;0;43639;PRJFC;PARTICULAR;B350;6804;6804;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;AERO BOERO;AB-115;1993;3;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;LEVE;0;43642;PPGNI;INSTRUÇÃO;AB11;770;770;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;XAVANTE;A-122-B;1978;2;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;NENHUM;0;43643;PPKBS;INSTRUÇÃO;A122;840;840;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;EMBRAER;EMB-810C;1981;6;PISTÃO;BIMOTOR;CRUZEIRO;LEVE;0;43648;PTRCB;TÁXI AÉREO;PA34;2073;2073;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI AÉREO
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A320-214;2008;184;JATO;BIMOTOR;DESCIDA;NENHUM;0;43649;PRMHZ;REGULAR;A320;77000;77000;BRASIL;AVIÃO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;GUARARAPES - GILBERTO FREYRE;REGULAR
AVIÃO;BRASIL;NEIVA INDUSTRIA AERONAUTICA;EMB-712;1980;4;PISTÃO;MONOMOTOR;CIRCUITO DE TRÁFEGO;NENHUM;0;43652;PTNXJ;INSTRUÇÃO;P28A;930;930;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
HELICÓPTERO;BRASIL;SIKORSKY AIRCRAFT;S-76A;1980;14;TURBOEIXO;BIMOTOR;CRUZEIRO;NENHUM;0;43653;PPMAH;TÁXI AÉREO;S76;4763;4763;BRASIL;HELICÓPTERO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI AÉREO
HELICÓPTERO;BRASIL;AGUSTA;AW139;2009;17;TURBOEIXO;BIMOTOR;POUSO;NENHUM;0;43655;PROMN;TÁXI AÉREO;A139;6800;6800;BRASIL;HELICÓPTERO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI AÉREO
HELICÓPTERO;BRASIL;HUGHES HELICOPTER;269A-1;1964;2;PISTÃO;MONOMOTOR;DECOLAGEM;DESTRUÍDA;0;43656;PTHGP;***;H269;759;759;BRASIL;HELICÓPTERO;PARTICULAR;PRESIDENTE JUSCELINO KUBITSCHEK;SANTA GENOVEVA/GOIÂNIA;PRIVADA
AVIÃO;BRASIL;CESSNA AIRCRAFT;A188B;1975;1;PISTÃO;MONOMOTOR;DECOLAGEM;SUBSTANCIAL;0;43657;PTWCU;***;C188;1905;1905;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;AGRÍCOLA
AVIÃO;BRASIL;PIPER AIRCRAFT;PA-25-260;1970;1;PISTÃO;MONOMOTOR;OUTRA FASE;SUBSTANCIAL;1;43658;PTDJS;***;PA25;1315;1315;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;AGRÍCOLA
AVIÃO;BRASIL;CESSNA AIRCRAFT;208B;2009;11;TURBOÉLICE;MONOMOTOR;APROXIMAÇÃO FINAL;SUBSTANCIAL;0;43702;PRRMI;***;C208;3969;3969;BRASIL;AVIÃO;TÁXI AÉREO;PLÁCIDO DE CASTRO;TARAUACÁ;TÁXI AÉREO
AVIÃO;BRASIL;NEIVA INDUSTRIA AERONAUTICA;EMB-202;2004;1;PISTÃO;MONOMOTOR;POUSO;SUBSTANCIAL;0;43703;PTURK;***;IPAN;1800;1800;BRASIL;AVIÃO;PARTICULAR;PARQUE ANA COSTA;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;NEIVA INDUSTRIA AERONAUTICA;EMB-201;1975;1;PISTÃO;MONOMOTOR;OUTRA FASE;DESTRUÍDA;1;43704;PTGHP;***;IPAN;1800;1800;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;AGRÍCOLA
AVIÃO;BRASIL;BEECH AIRCRAFT;200;1981;12;TURBOÉLICE;BIMOTOR;APROXIMAÇÃO FINAL;DESTRUÍDA;6;43705;PRART;***;BE20;5670;5670;BRASIL;AVIÃO;PARTICULAR;PRESIDENTE JUSCELINO KUBITSCHEK;SANTA GENOVEVA/GOIÂNIA;PRIVADA
AVIÃO;BRASIL;NEIVA INDUSTRIA AERONAUTICA;EMB-721D;1980;7;PISTÃO;MONOMOTOR;CRUZEIRO;SUBSTANCIAL;0;43706;PTRHW;***;P32R;1633;1633;BRASIL;AVIÃO;PARTICULAR;MANUEL URBANO;EIRUNEPÉ;PRIVADA
AVIÃO;BRASIL;AEROSPATIALE AND ALENIA;ATR-72-202;1998;71;TURBOÉLICE;BIMOTOR;SUBIDA;NENHUM;0;43707;PRAZR;REGULAR;AT72;22000;22000;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;BEECH AIRCRAFT;58;1992;6;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;NENHUM;0;43711;PRSAC;TÁXI AÉREO;BE58;2449;2449;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI AÉREO
AVIÃO;BRASIL;CESSNA AIRCRAFT;182P;1972;4;PISTÃO;MONOMOTOR;DECOLAGEM;NENHUM;0;43715;PTIDB;ESPECIALIZADA;C182;1338;1338;BRASIL;AVIÃO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA
HELICÓPTERO;BRASIL;ROBINSON HELICOPTER;R22 BETA;1998;2;PISTÃO;MONOMOTOR;SUBIDA;SUBSTANCIAL;0;43731;PTYDW;***;R22;621;621;BRASIL;HELICÓPTERO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;EMBRAER;EMB-810C;1978;6;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;LEVE;0;43732;PTESV;***;PA34;2073;2073;BRASIL;AVIÃO;PARTICULAR;PLÁCIDO DE CASTRO;PAUINI;PRIVADA
AVIÃO;BRASIL;AEROSPATIALE AND ALENIA;ATR-42-300;1987;49;TURBOÉLICE;BIMOTOR;TÁXI;LEVE;0;43733;PTMFV;REGULAR;AT43;16700;16700;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;BEECH AIRCRAFT;58;1992;6;PISTÃO;BIMOTOR;DECOLAGEM;NENHUM;0;43735;PRHOM;PARTICULAR;BE58;2495;2495;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;RAYTHEON AIRCRAFT;390;2008;8;JATO;BIMOTOR;POUSO;LEVE;0;43738;PRVMD;TÁXI AÉREO;PRM1;5670;5670;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI AÉREO
HELICÓPTERO;BRASIL;HELIBRAS;AS 350 B3;2009;6;TURBOEIXO;MONOMOTOR;MANOBRA;NENHUM;0;43742;PRIDR;ADMINISTRAÇÃO DIRETA;AS50;2250;2250;BRASIL;HELICÓPTERO;ADMINISTRAÇÃO DIRETA;FORA DE AERODROMO;FORA DE AERODROMO;POLICIAL
AVIÃO;BRASIL;BEECH AIRCRAFT;A36;0;0;PISTÃO;MONOMOTOR;DECOLAGEM;SUBSTANCIAL;0;43752;PPBIL;***;BE36;1656;1656;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;AERO BOERO;AB-115;1992;2;PISTÃO;MONOMOTOR;DECOLAGEM;LEVE;0;43764;PPGMA;INSTRUÇÃO;AB11;770;770;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;AEROSPATIALE AND ALENIA;ATR-42-500;1996;52;TURBOÉLICE;BIMOTOR;APROXIMAÇÃO FINAL;LEVE;0;43767;PPPTW;REGULAR;AT45;18600;18600;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;PIPER AIRCRAFT;PA-25-235;1968;1;PISTÃO;MONOMOTOR;ESPECIALIZADA;SUBSTANCIAL;0;43774;PTBII;***;PA25;1315;1315;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;AGRÍCOLA
AVIÃO;BRASIL;BEECH AIRCRAFT;58;1981;6;PISTÃO;BIMOTOR;OUTRA FASE;DESTRUÍDA;3;43775;PRBOR;***;BE58;2449;2449;BRASIL;AVIÃO;PARTICULAR;GOVERNADOR JOSÉ RICHA;GOVERNADOR JOSÉ RICHA;PRIVADA
AVIÃO;BRASIL;NEIVA INDUSTRIA AERONAUTICA;EMB-712;1979;4;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;SUBSTANCIAL;0;43776;PTNUT;***;P28A;1157;1157;BRASIL;AVIÃO;PARTICULAR;RONDONÓPOLIS;FAZENDA ARCO-ÍRIS;PRIVADA
AVIÃO;BRASIL;CESSNA AIRCRAFT;150M;1977;2;PISTÃO;MONOMOTOR;ARREMETIDA NO AR;SUBSTANCIAL;0;43778;PPFOX;***;C150;726;726;BRASIL;AVIÃO;INSTRUÇÃO;SÍTIO POUSO DO AVIADOR;SÍTIO POUSO DO AVIADOR;INSTRUÇÃO
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A310-304;1989;249;JATO;BIMOTOR;DECOLAGEM;NENHUM;0;43779;PRWTA;REGULAR;A310;157000;157000;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;CESSNA AIRCRAFT;182P;1974;4;PISTÃO;MONOMOTOR;ARREMETIDA NO SOLO;DESTRUÍDA;2;43808;PTKAS;***;C182;1338;1338;BRASIL;AVIÃO;PARTICULAR;ARAGUAÍNA;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;CESSNA AIRCRAFT;A188B;1983;1;PISTÃO;MONOMOTOR;ESPECIALIZADA;SUBSTANCIAL;1;43809;PTFFG;***;C188;1905;1905;BRASIL;AVIÃO;AGRÍCOLA;FAZENDA BOLA SETE;FORA DE AERODROMO;AGRÍCOLA
AVIÃO;BRASIL;PIPER AIRCRAFT;PA-28R-200;1971;4;PISTÃO;MONOMOTOR;CIRCUITO DE TRÁFEGO;LEVE;0;43811;PTDTM;PARTICULAR;P28R;1179;1179;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;EMBRAER;EMB-810C;1977;7;PISTÃO;BIMOTOR;POUSO;LEVE;0;43812;PTEIW;PARTICULAR;PA34;2073;2073;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;CIRRUS DESIGN;SR22;2007;4;PISTÃO;MONOMOTOR;DECOLAGEM;SUBSTANCIAL;0;43814;PRRPE;***;SR22;1542;1542;BRASIL;AVIÃO;PARTICULAR;Comandante Rolim Adolfo Amaro;SOROCABA;PRIVADA
AVIÃO;BRASIL;BOEING COMPANY;727-264;1983;5;JATO;TRIMOTOR;DECOLAGEM;LEVE;0;43817;PRIOC;REGULAR;B722;88360;88360;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A320-214;2001;184;JATO;BIMOTOR;DECOLAGEM;LEVE;0;43818;PRMHB;REGULAR;A320;77000;77000;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;CESSNA AIRCRAFT;P206A;1966;6;PISTÃO;MONOMOTOR;VOO A BAIXA ALTURA;LEVE;0;43819;PTCOF;TÁXI AÉREO;C206;1633;1633;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI AÉREO
AVIÃO;BRASIL;CESSNA AIRCRAFT;170A;1951;1;PISTÃO;MONOMOTOR;CIRCUITO DE TRÁFEGO;NENHUM;0;43820;PTANF;ESPECIALIZADA;C170;998;998;BRASIL;AVIÃO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA
AVIÃO;BRASIL;EMBRAER;ERJ 190-200 IGW;2010;125;JATO;BIMOTOR;CRUZEIRO;NENHUM;0;43828;PRAYF;REGULAR;E190;52290;52290;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;EMBRAER;ERJ 190-100 IGW;2008;112;JATO;BIMOTOR;APROXIMAÇÃO FINAL;NENHUM;0;43829;PRAZC;REGULAR;E190;51800;51800;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A320-232;2006;166;JATO;BIMOTOR;INDETERMINADA;LEVE;0;43831;PRMBB;REGULAR;A320;77000;77000;BRASIL;AVIÃO;REGULAR;JORGE NEWBERY AIRFIELD;ANTONIO CARLOS JOBIM / GALEÃO;REGULAR
AVIÃO;BRASIL;BEECH AIRCRAFT;C90;1979;7;TURBOÉLICE;BIMOTOR;POUSO;SUBSTANCIAL;0;43832;PTOPR;***;BE9L;4377;4377;BRASIL;AVIÃO;TÁXI AÉREO;CAMPO DE MARTE;PARATI;TÁXI AÉREO
AVIÃO;BRASIL;LEARJET;31A;1995;10;JATO;BIMOTOR;DECOLAGEM;LEVE;0;43836;PTBBB;TÁXI AÉREO;LJ31;7031;7031;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI AÉREO
AVIÃO;BRASIL;BOEING COMPANY;727-227;1977;5;JATO;TRIMOTOR;OPERAÇÃO DE SOLO;LEVE;0;43837;PRAIB;NÃO REGULAR;B722;86409;86409;BRASIL;AVIÃO;NÃO REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A320-232;2001;184;JATO;BIMOTOR;INDETERMINADA;LEVE;0;43838;PTMZX;REGULAR;A320;70000;70000;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
ULTRALEVE;BRASIL;FABRICACAO PROPRIA;FOX V5 SUPER;0;0;PISTÃO;MONOMOTOR;INDETERMINADA;DESTRUÍDA;1;43869;PUFAT;EXPERIMENTAL;ULAC;417;417;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;EXPERIMENTAL
ULTRALEVE;BRASIL;***;FOX II;1990;2;PISTÃO;MONOMOTOR;INDETERMINADA;DESTRUÍDA;0;43869;PURHM;EXPERIMENTAL;ULAC;417;417;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;EXPERIMENTAL
AVIÃO;BRASIL;BEECH AIRCRAFT;58;1973;6;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;LEVE;0;43870;PRJHM;***;BE58;2449;2449;BRASIL;AVIÃO;TÁXI AÉREO;GOVERNADOR ANDRÉ FRANCO MONTORO;PRESIDENTE JUSCELINO KUBITSCHEK;TÁXI AÉREO
AVIÃO;BRASIL;NEIVA INDUSTRIA AERONAUTICA;EMB-712;1980;4;PISTÃO;MONOMOTOR;MANOBRA;LEVE;0;43871;PTNYJ;INSTRUÇÃO;P28A;1157;1157;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;EMBRAER;EMB-810C;1979;6;PISTÃO;BIMOTOR;TÁXI;LEVE;0;43872;PTEUT;PARTICULAR;PA34;2073;2073;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;PIPER AIRCRAFT;PA-34-200;1972;6;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;LEVE;0;43873;PTIHI;INSTRUÇÃO;PA34;1905;1905;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;AERO BOERO;AB-115;1992;3;PISTÃO;MONOMOTOR;POUSO;NENHUM;0;43874;PPGMM;INSTRUÇÃO;AB11;770;770;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;CIA AERONAUTICA PAULISTA;CAP-4;1947;2;PISTÃO;MONOMOTOR;OUTRA FASE;LEVE;0;43875;PPHCP;INSTRUÇÃO;PAUL;587;587;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;FOKKER;F28MK0100;1993;107;JATO;BIMOTOR;CIRCUITO DE TRÁFEGO;LEVE;0;43876;PROAM;REGULAR;F100;44450;44450;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A321-231;2009;232;JATO;BIMOTOR;DECOLAGEM;LEVE;0;43885;PTMXD;REGULAR;A321;89000;89000;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;PIPER AIRCRAFT;PA-31T1;1981;7;TURBOÉLICE;BIMOTOR;CRUZEIRO;NENHUM;0;43894;PRCFR;PARTICULAR;PAY1;3946;3946;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;CESSNA AIRCRAFT;208B;1993;11;TURBOÉLICE;MONOMOTOR;CORRIDA APÓS POUSO;LEVE;0;43895;PTMEI;REGULAR;C208;3969;3969;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;AEROSPATIALE AND ALENIA;ATR-72-212;1995;71;TURBOÉLICE;BIMOTOR;CORRIDA APÓS POUSO;SUBSTANCIAL;0;43899;PRTTI;***;AT72;22000;22000;BRASIL;AVIÃO;REGULAR;VAL DE CANS / JÚLIO CEZAR RIBEIRO;ALTAMIRA;REGULAR
AVIÃO;BRASIL;PIPER AIRCRAFT;PA-32R-301T;1999;7;PISTÃO;MONOMOTOR;POUSO;SUBSTANCIAL;0;43900;PTPSC;***;PA32;1633;1633;BRASIL;AVIÃO;PARTICULAR;ESTÂNCIA SANTA RITA;FAZENDA PONTAL;PRIVADA
AVIÃO;BRASIL;NEIVA INDUSTRIA AERONAUTICA;56-C;1960;2;PISTÃO;MONOMOTOR;POUSO;LEVE;0;43901;PPGSY;***;PAUL;660;660;BRASIL;AVIÃO;INSTRUÇÃO;ARARAS;ARARAS;INSTRUÇÃO
AVIÃO;BRASIL;NEIVA INDUSTRIA AERONAUTICA;56-C;1960;2;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;NENHUM;0;43903;PPGSZ;***;PAUL;660;660;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
HELICÓPTERO;BRASIL;ROBINSON HELICOPTER;R44 II;2009;4;PISTÃO;MONOMOTOR;DECOLAGEM;LEVE;0;43904;PRDDM;PARTICULAR;R44;1134;1134;BRASIL;HELICÓPTERO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;CESSNA AIRCRAFT;152;1978;2;PISTÃO;MONOMOTOR;DECOLAGEM;DESTRUÍDA;0;43906;PPABX;***;C152;757;757;BRASIL;AVIÃO;PARTICULAR;ESTÂNCIA SANTA RITA;SANTO ANTÔNIO DE LEVERGER;PRIVADA
AVIÃO;BRASIL;CESSNA AIRCRAFT;A188B;1977;1;PISTÃO;MONOMOTOR;OUTRA FASE;SUBSTANCIAL;0;43908;PRAAK;***;C188;1497;1497;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;AGRÍCOLA
AVIÃO;BRASIL;NEIVA INDUSTRIA AERONAUTICA;56-C-1;1963;2;PISTÃO;MONOMOTOR;ARREMETIDA NO SOLO;SUBSTANCIAL;0;43909;PPHPL;***;PAUL;587;587;BRASIL;AVIÃO;INSTRUÇÃO;RIO CLARO;DR. JOSÉ DE ARRUDA BOTELHO;INSTRUÇÃO
AVIÃO;BRASIL;CIA AERONAUTICA PAULISTA;CAP-4;1946;2;PISTÃO;MONOMOTOR;MANOBRA;LEVE;0;43910;PPHBK;***;PAUL;587;587;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
ULTRALEVE;BRASIL;HENRIQUE HAMILTON CERQUEIRA SANTOS;R-12;2009;2;PISTÃO;MONOMOTOR;APROXIMAÇÃO FINAL;SUBSTANCIAL;0;43911;PUHHC;EXPERIMENTAL;ULAC;732;732;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;EXPERIMENTAL
HELICÓPTERO;BRASIL;SIKORSKY AIRCRAFT;S-76C;2003;14;TURBOEIXO;BIMOTOR;OPERAÇÃO DE SOLO;LEVE;0;43912;PRSED;TÁXI AÉREO;S76;5307;5307;BRASIL;HELICÓPTERO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI AÉREO
AVIÃO;BRASIL;FOKKER;F28MK0100;1992;107;JATO;BIMOTOR;APROXIMAÇÃO FINAL;NENHUM;0;43913;PROAT;REGULAR;F100;44450;44450;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;BOEING COMPANY;737-36N;1999;156;JATO;BIMOTOR;SUBIDA;LEVE;0;43914;PRWJL;REGULAR;B733;62822;62822;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;EMBRAER;EMB-810C;1982;6;PISTÃO;BIMOTOR;DECOLAGEM;LEVE;0;43915;PTRGY;***;PA34;2073;2073;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A320-214;2008;184;JATO;BIMOTOR;APROXIMAÇÃO FINAL;LEVE;0;43945;PRMHY;REGULAR;A320;77000;77000;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A320-232;2001;184;JATO;BIMOTOR;DECOLAGEM;LEVE;0;43946;PTMZZ;REGULAR;A320;77000;77000;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;AERO BOERO;AB-115;1992;2;PISTÃO;MONOMOTOR;DECOLAGEM;NENHUM;0;43973;PPGMG;INSTRUÇÃO;AB11;770;770;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;EMBRAER;EMB-202A;2009;1;PISTÃO;MONOMOTOR;CRUZEIRO;SUBSTANCIAL;0;43977;PTUXS;***;IPAN;1800;1800;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;BEECH AIRCRAFT;A36;1980;6;PISTÃO;MONOMOTOR;DECOLAGEM;DESTRUÍDA;1;43978;PTOIS;***;BE36;1633;1633;BRASIL;AVIÃO;PARTICULAR;BACACHERI;PARÁ DE MINAS;PRIVADA
AVIÃO;BRASIL;BOEING COMPANY;737-341;1990;156;JATO;BIMOTOR;CRUZEIRO;NENHUM;0;43979;PRWJJ;REGULAR;B733;61234;61234;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;BEECH AIRCRAFT;95-B55;1980;6;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;SUBSTANCIAL;0;43980;PTLQX;PARTICULAR;BE55;2313;2313;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
